ID,LL_Total_RPKM,HL_Total_RPKM,LL_Total_logCPM,HL_Total_logCPM,Total_PValue,Total_FDR,LL_Ribo_RPKM,HL_Ribo_RPKM,LL_Ribo_log2CPM,HL_Ribo_log2CPM,Ribo_PValue,Ribo_FDR,TotalFC,RiboFC,TE0,TE10,FcPoly,FcT10,rTE10
AT1G03060,0.26147335,0.185402647,2.65129581,2.359707994,0.629107128,1,0.813363865,0.617077884,3.863447798,3.534633301,0.42725805,1,0.709069001,0.758673837,3.110695086,3.328312157,0.758673837,0.709069001,1.069957699
AT1G03090,1.124801024,0.840181318,2.916426963,2.639028143,0.677697184,1,1.715897926,1.355101115,3.353930812,3.095988125,0.742904669,1,0.746959951,0.789732941,1.525512415,1.612867468,0.789732941,0.746959951,1.057262761
AT1G03130,385.0254102,298.5419086,8.531501343,8.167115879,0.114301743,1,462.4875433,354.2572961,8.794283533,8.411900148,0.002869486,0.211546314,0.775382353,0.765982352,1.201187067,1.186625013,0.765982352,0.775382353,0.987876947
AT1G03140,4.880296365,4.433410644,3.620140833,3.508895746,0.775537319,1,8.047422752,5.901568602,4.224616892,3.839321885,0.248334705,1,0.908430618,0.733348897,1.648961897,1.331157674,0.733348897,0.908430618,0.807270124
AT1G03210,4.003609407,3.342440765,3.01860871,2.838039103,0.701171261,1,1.895301098,1.893228321,2.320671879,2.319811554,1,1,0.834856857,0.99890636,0.473398103,0.566420904,0.99890636,0.834856857,1.196500157
AT1G03220,10.88912963,11.70225686,4.517935874,4.612006581,0.775199287,1,33.96369623,33.37425808,6.05465589,6.030446212,0.955582824,1,1.074673299,0.982645053,3.119046001,2.851950566,0.982645053,1.074673299,0.914366305
AT1G03230,2.713557214,2.106825845,2.887973042,2.648081508,0.677697184,1,7.055365129,6.00236721,3.94944113,3.752852081,0.614837165,1,0.776407379,0.850752172,2.600042886,2.849009672,0.850752172,0.776407379,1.095754877
AT1G03250,2.204612792,2.697086844,2.79366619,2.993165842,0.701171261,1,3.308731793,3.421041459,3.197134746,3.233545737,1,1,1.223383468,1.033943418,1.500822187,1.268420951,1.033943418,1.223383468,0.845150719
AT1G03310,2.893196402,2.833417994,3.604620621,3.580320007,1,1,4.661729662,3.126211597,4.178561794,3.688035738,0.096115217,1,0.979338282,0.670611945,1.611273144,1.103335831,0.670611945,0.979338282,0.684760269
AT1G03330,2.477551968,3.844663392,2.670523081,3.103265941,0.327042622,1,2.320216057,2.474363768,2.595090116,2.653838999,1,1,1.551799293,1.066436792,0.936495414,0.64358398,1.066436792,1.551799293,0.687225981
AT1G03340,0.455082772,0.823405081,1.668554377,1.950658564,0.687515258,1,0.786302044,0.43776909,1.898537931,1.622300591,0.687515258,1,1.809352346,0.556744184,1.727822041,0.531657018,0.556744184,1.809352346,0.307703574
AT1G03370,1.043680067,0.876112812,2.88830267,2.720160008,0.838851214,1,1.887160456,1.806183679,3.515530763,3.465001296,1,1,0.839445765,0.957090677,1.808179073,2.061588022,0.957090677,0.839445765,1.140145936
AT1G03380,1.13951513,0.916608831,3.124128043,2.90094972,0.584757264,1,2.270131021,1.736623722,3.905837749,3.584751216,0.366528693,1,0.804384959,0.764988323,1.992190328,1.894618144,0.764988323,0.804384959,0.951022659
AT1G03430,2.223183028,2.618004373,2.676863297,2.831143448,0.831842009,1,1.964026076,1.934244865,2.549147199,2.535662238,1,1,1.177592821,0.984836652,0.883429772,0.738824154,0.984836652,1.177592821,0.836313397
AT1G03440,1.273792051,1.541853257,2.340344263,2.495568061,0.80364495,1,2.214383751,3.152860511,2.810399597,3.174529391,0.473242177,1,1.21044346,1.42380945,1.738418566,2.044851218,1.42380945,1.21044346,1.176270927
AT1G03475,12.98962671,10.53766526,5.096806008,4.817741731,0.269508049,1,19.49903788,15.10704323,5.647905593,5.298606663,0.099088441,1,0.811236958,0.774758392,1.501123806,1.433623375,0.774758392,0.811236958,0.955033402
AT1G03610,4.124087497,2.782543288,3.58168556,3.143435898,0.280121114,1,5.00737956,3.534785972,3.804257293,3.396032644,0.271886362,1,0.674705202,0.705915326,1.214178788,1.270343569,0.705915326,0.674705202,1.046257422
AT1G03630,22.81931467,23.92304501,5.668891544,5.73396596,0.770275876,1,28.25401669,23.95289896,5.962613686,5.733715165,0.189919467,1,1.048368251,0.84776969,1.238162368,1.001247916,0.84776969,1.048368251,0.808656394
AT1G03687,0.676801163,0.965013434,1.960533003,2.18807543,0.753926275,1,0.696065458,0.691370814,1.951768562,1.947725037,1,1,1.425844822,0.993255456,1.028463744,0.716436466,0.993255456,1.425844822,0.696608383
AT1G03730,2.138095673,1.702529676,2.335155007,2.167643168,1,1,3.514971189,1.216230989,2.749893093,1.928760756,0.076850713,1,0.796283205,0.346014497,1.643972827,0.714366984,0.346014497,0.796283205,0.434536977
AT1G03740,2.835778306,2.596063088,3.688936213,3.585393948,0.889930535,1,4.365129071,2.549042724,4.211565324,3.555871627,0.038566773,0.979049418,0.915467575,0.583955865,1.539305475,0.981887819,0.583955865,0.915467575,0.63787717
AT1G03790,0.784995431,1.919849172,1.920698571,2.558293316,0.266896839,1,0.742201608,2.406089722,1.863436574,2.749246606,0.076850713,1,2.44568197,3.241827687,0.945485258,1.253270182,3.241827687,2.44568197,1.325531172
AT1G03820,3.201232547,1.844832798,2.569314948,2.140111851,0.424003886,1,1.906015226,2.050707567,2.140404502,2.192724829,1,1,0.57628828,1.075913528,0.595400427,1.111595354,1.075913528,0.57628828,1.866971039
AT1G03850,1.239543862,0.596570608,2.280761459,1.826878325,0.343790051,1,1.142898722,0.551180328,2.199807349,1.760044014,0.507844541,1,0.48128237,0.482265241,0.92203169,0.923914656,0.482265241,0.48128237,1.002042192
AT1G03910,0.865836866,0.707531287,2.64911638,2.473024187,0.814556582,1,1.121134895,0.997794007,2.881118285,2.766729635,0.845051765,1,0.817164659,0.889985685,1.294856963,1.410247187,0.889985685,0.817164659,1.089114263
AT1G03930,1.616354729,1.73451062,3.049994252,3.123855621,0.860086497,1,1.529847689,1.382133736,2.981049272,2.878079483,1,1,1.073100223,0.903445321,0.946480164,0.796843628,0.903445321,1.073100223,0.84190209
AT1G04000,2.34053194,1.676526685,2.404299832,2.154829215,0.581095594,1,5.78554838,5.964359722,3.261114848,3.294768806,1,1,0.716301562,1.03090655,2.47189465,3.557569215,1.03090655,0.716301562,1.439207458
AT1G04040,10.94528242,13.52164343,4.249612499,4.520495018,0.358773576,1,6.817242289,12.74040036,3.662083583,4.439072028,0.008814119,0.438815523,1.235385521,1.868849576,0.622847545,0.942222772,1.868849576,1.235385521,1.512766293
AT1G04130,0.639415793,1.078642003,1.925049155,2.264562533,0.753926275,1,0.473565219,1.351571594,1.743739227,2.423090405,0.226604459,1,1.686917988,2.854034755,0.740621712,1.253030746,2.854034755,1.686917988,1.691863372
AT1G04190,1.544143057,2.042155497,2.582998123,2.842499895,0.663678546,1,1.604587289,1.922055718,2.601028506,2.769753475,0.831842009,1,1.322517035,1.19785052,1.039144192,0.941189699,1.19785052,1.322517035,0.905735418
AT1G04240,17.40719032,13.18553801,4.864813895,4.500571345,0.17463286,1,17.63920104,9.187033238,4.87906869,4.036562698,0.00139498,0.124542231,0.757476524,0.520830463,1.013328442,0.69675073,0.520830463,0.757476524,0.687586277
AT1G04270,51.13640505,56.60423492,6.370079116,6.512794567,0.535905301,1,41.14353124,40.07861658,6.065226108,6.028379849,0.771513157,1,1.106926364,0.974117082,0.804583959,0.708049789,0.974117082,1.106926364,0.880019767
AT1G04290,3.819692492,3.708282333,2.817993179,2.789542488,1,1,0.512224408,2.801114534,1.533943278,2.517233152,0.065453291,1,0.970832689,5.468529985,0.134100954,0.755367117,5.468529985,0.970832689,5.632824324
AT1G04350,4.894305333,6.36914393,3.724703473,4.044570183,0.321340651,1,6.75836026,5.549930645,4.112695769,3.869004813,0.476943199,1,1.301337676,0.821194851,1.380862002,0.871377803,0.821194851,1.301337676,0.631039019
